filename,nodes,degree,diameter
octahedron,6,4,2
cube3,8,3,3
paley9,9,4,2
johnson5.2,10,6,2
k5.5-i,10,4,3
petersen,10,3,2
icosahedron,12,5,3
k6.6-i,12,5,3
paley13,13,6,2
heawood,14,3,3
heawood-dist3,14,4,3
k7.7-i,14,6,3
johnson6.2,15,8,2
kneser6.2,15,6,2
line-petersen,15,4,3
clebsch,16,5,2
complement-clebsch,16,10,2
complement-hamming2.4,16,9,2
complement-shrikhande,16,9,2
cube4,16,4,4
hamming2.4,16,6,2
k8.8-i,16,7,3
shrikhande,16,6,2
paley17,17,8,2
k9.9-i,18,8,3
pappus,18,3,4
desargues,20,3,5
dodecahedron,20,3,5
johnson6.3,20,9,3
k10.10-i,20,9,3
johnson7.2,21,10,2
kneser7.2,21,10,2
line-heawood,21,4,3
incidence-11.6.3,22,6,3
incidence-biplane11,22,5,3
k11.11-i,22,10,3
k12.12-i,24,11,3
klein,24,7,3
complement-hamming2.5,25,16,2
hamming2.5,25,8,2
paley25,25,12,2
paulus25_1,25,12,2
paulus25_10,25,12,2
paulus25_11,25,12,2
paulus25_12,25,12,2
paulus25_13,25,12,2
paulus25_14,25,12,2
paulus25_2,25,12,2
paulus25_3,25,12,2
paulus25_4,25,12,2
paulus25_5,25,12,2
paulus25_6,25,12,2
paulus25_7,25,12,2
paulus25_8,25,12,2
paulus25_9,25,12,2
complement-paulus26_1,26,15,2
complement-paulus26_10,26,15,2
complement-paulus26_2,26,15,2
complement-paulus26_3,26,15,2
complement-paulus26_4,26,15,2
complement-paulus26_5,26,15,2
complement-paulus26_6,26,15,2
complement-paulus26_7,26,15,2
complement-paulus26_8,26,15,2
complement-paulus26_9,26,15,2
incidence-pg23,26,4,3
k13.13-i,26,12,3
nonincidence-pg23,26,9,3
paulus26_1,26,10,2
paulus26_10,26,10,2
paulus26_2,26,10,2
paulus26_3,26,10,2
paulus26_4,26,10,2
paulus26_5,26,10,2
paulus26_6,26,10,2
paulus26_7,26,10,2
paulus26_8,26,10,2
paulus26_9,26,10,2
complement-schlafli,27,10,2
gq2.4minusspread1,27,8,3
hamming3.3,27,6,3
schlafli,27,16,2
chang_1,28,12,2
chang_2,28,12,2
chang_3,28,12,2
coxeter,28,3,4
johnson8.2,28,12,2
k14.14-i,28,13,3
kneser8.2,28,15,2
paley13-taylor,28,13,3
paley29,29,14,2
incidence-pg32,30,7,3
k15.15-i,30,14,3
nonincidence-pg32,30,8,3
tutte8,30,3,4
armanios-wells,32,5,4
cube5,32,5,5
folded-cube6,32,6,3
hadamard32,32,8,4
incidence-16.10.6_1,32,10,3
incidence-16.10.6_2,32,10,3
incidence-16.10.6_3,32,10,3
j62-taylor,32,15,3
k16.16-i,32,15,3
k62-taylor,32,15,3
truncated-ag24,32,4,4
k17.17-i,34,16,3
folded-johnson8.4,35,16,2
grassmann242,35,18,2
johnson7.3,35,12,3
odd4,35,4,3
g22graph,36,14,2
hamming2.6,36,10,2
hexacodegraph,36,6,4
johnson9.2,36,14,2
kneser9.2,36,21,2
no-6-2,36,15,2
sylvester,36,5,3
point-dualgq33a,40,12,2
hs-subconstit,42,6,3
incidence-pg24,42,5,3
k14-cd-cover,42,13,3
k14-triple-cover,42,13,3
halved-foster,45,6,4
johnson10.2,45,16,2
kneser10.2,45,28,2
line-tutte8,45,4,4
point-gq42,45,12,2
hadamard48,48,12,4
hamming2.7,49,12,2
paley49,49,24,2
peisert49,49,24,2
complement-hoffmansingleton,50,42,2
hoffmansingleton,50,7,2
truncated-ag25,50,5,4
